variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description
ADM_RNO,id-generation,Sequential record number,Sequential record number,N/A,N/A,Continuous,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ADMA_RNO, cchs2003_p::ADMC_RNO, cchs2005_p::ADME_RNO, [ADM_RNO]",
ALC_1,predictor,Alcohol past year,"Past year, have you drank alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_1, cchs2003_p::ALCC_1, cchs2005_p::ALCE_1, cchs2015_2016_p::ALC_010, cchs2017_2018_p::ALC_010, [ALC_1]",
ALC_005,predictor,Alcohol in lifetime,"In lifetime, ever drank alcohol?",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5B, cchs2003_p::ALCC_5B, cchs2005_p::ALCE_5B, cchs2007_2008_p::ALN_1, [ALC_005]",
ALCDTTM,predictor,Drinker type (last 12 months),Type of drinker (12 months),Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCADTYP, cchs2003_p::ALCCDTYP, cchs2005_p::ALCEDTYP, cchs2015_2016_p::ALCDVTTM, cchs2017_2018_p::ALCDVTTM, [ALCDTTM]",
ALCDTYP,predictor,Drinker type,Type of drinker - (D),Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p","cchs2001_p::ALCADTYP, cchs2003_p::ALCCDTYP, cchs2005_p::ALCEDTYP, [ALNDTYP]",
ALW_1,predictor,Any alcohol past week,"Past week, had any alcohol",Health behaviour,Alcohol,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5, cchs2003_p::ALCC_5, cchs2005_p::ALCE_5, cchs2015_2016_p::ALW_005, cchs2017_2018_p::ALW_005, [ALW_1]",
ALW_2A1,predictor,# of drinks - Sunday,Number of drinks on Sunday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5A1, cchs2003_p::ALCC_5A1, cchs2005_p::ALCE_5A1, cchs2015_2016_p::ALW_010, cchs2017_2018_p::ALW_010, [ALW_2A1]",
ALW_2A2,predictor,# of drinks - Monday,Number of drinks on Monday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5A2, cchs2003_p::ALCC_5A2, cchs2005_p::ALCE_5A2, cchs2015_2016_p::ALW_015, cchs2017_2018_p::ALW_015, [ALW_2A2]",
ALW_2A3,predictor,# of drinks - Tuesday,Number of drinks on Tuesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5A3, cchs2003_p::ALCC_5A3, cchs2005_p::ALCE_5A3, cchs2015_2016_p::ALW_020, cchs2017_2018_p::ALW_020, [ALW_2A3]",
ALW_2A4,predictor,# of drinks - Wednesday,Number of drinks on Wednesday,Health behaviour,Alcohol,Continuous,drinks,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","cchs2001_p::ALCA_5A4, cchs2003_p::ALCC_5A4, cchs2005_p::ALCE_5A4, cchs2015_2016_p::ALW_025, cchs2017_2018_p::ALW_025, [ALW_2A4]",
